ID,Mathmatics,Science,English,Japanese,History,Geography
A0001,55,63,65,77,61,46
A0002,61,78,91,88,89,90
A0003,29,0,49,42,52,37
A0004,36,40,43,50,49,42
A0005,72,66,89,92,70,65
A0006,45,55,68,71,81,67
A0007,74,75,53,54,62,0
A0008,56,80,87,97,94,87
A0009,70,85,55,51,56,62
A0010,79,98,82,99,91,78
A0011,31,47,52,46,54,44
A0012,39,53,71,68,82,71
A0013,0,37,0,40,46,40
A0014,94,82,67,58,63,58
A0015,42,44,64,67,77,80
A0016,73,70,81,83,72,70
A0017,78,96,61,56,58,59
A0018,52,64,76,94,68,45
A0019,68,68,95,85,73,64
A0020,65,60,85,72,60,51
A0021,50,77,78,73,69,54
A0022,47,57,74,64,79,73
A0023,67,89,58,63,66,52
A0024,64,61,93,69,69,50
A0025,60,71,73,75,67,55
A0026,58,67,98,79,86,75
A0027,49,50,59,66,75,75
A0028,87,93,79,61,65,48
