ID,Mathmatics,Science,English,Japanese,History,Geography
A0001,64,68,95,85,96,93
A0002,65,59,78,76,74,71
A0003,70,55,84,75,75,82
A0004,77,82,57,59,69,63
A0005,74,60,92,84,76,74
A0006,71,92,58,60,68,64
A0007,56,54,66,69,86,85
A0008,40,0,73,68,75,97
A0009,64,65,68,86,64,56
A0010,76,58,93,99,82,83
A0011,60,63,95,88,98,92
A0012,58,78,67,78,65,61
A0013,55,50,78,65,100,80
A0014,88,87,73,55,71,51
A0015,28,45,50,50,51,44
A0016,65,77,60,96,64,57
A0017,47,40,71,71,77,90
A0018,38,36,68,66,78,94
A0019,32,37,63,72,81,99
A0020,0,47,75,70,82,92
A0021,62,64,88,75,92,93
A0022,48,46,52,40,49,54
A0023,72,67,98,70,75,70
A0024,98,97,70,57,65,49
A0025,68,69,91,74,79,77
A0026,51,52,76,67,93,86
A0027,69,59,79,69,57,55
A0028,70,68,86,72,74,58
A0029,81,80,72,56,67,46
A0030,43,44,46,44,43,41
A0031,71,56,96,73,76,81
A0032,46,42,66,72,80,96
A0033,71,76,90,81,83,74
A0034,85,89,79,62,71,44
A0035,62,75,59,81,73,65
A0036,35,33,52,48,53,52
A0037,50,41,0,52,50,47
A0038,94,88,60,61,66,48
A0039,81,75,49,46,52,47
A0040,84,96,81,77,97,90
A0041,53,51,69,64,99,75
A0042,96,71,50,47,55,48
A0043,60,63,92,73,88,88
A0044,86,95,63,58,56,53
A0045,68,66,83,68,62,72
A0046,68,62,85,76,80,75
A0047,31,48,53,49,47,43
A0048,61,64,94,93,91,91
A0049,57,78,66,87,73,62
A0050,65,72,74,89,74,69
A0051,73,70,94,65,61,67
A0052,63,73,80,78,87,95
A0053,55,54,61,68,95,76
A0054,67,61,82,89,98,89
A0055,63,77,97,73,97,98
A0056,60,74,77,75,73,73
A0057,72,82,55,55,60,61
A0058,67,56,76,74,63,66
A0059,75,98,56,62,63,58
A0060,52,53,78,68,95,78
A0061,59,65,83,75,99,100
A0062,75,84,55,63,60,56
A0063,87,79,65,54,70,45
A0064,54,49,59,67,94,80
A0065,92,86,81,92,90,96
A0066,76,66,89,91,78,79
A0067,53,52,69,66,84,76
A0068,79,84,54,64,70,71
A0069,90,71,42,0,46,54
A0070,100,81,71,53,68,50
A0071,69,64,86,83,76,87
A0072,36,38,47,51,54,0
A0073,59,79,75,77,58,64
A0074,67,73,99,71,72,69
A0075,56,67,64,79,67,68
A0076,78,91,56,60,59,72
A0077,97,61,48,52,54,42
A0078,42,39,62,70,76,94
A0079,61,62,64,85,69,59
A0080,49,43,44,49,53,39
A0081,83,94,87,73,85,95
A0082,91,93,77,58,61,51
A0083,58,70,62,74,72,60
A0084,72,68,84,71,57,66
A0085,66,57,80,91,93,97
A0086,80,99,100,88,89,98
A0087,74,65,90,95,77,78
